number_of_packets,average_packet_length,number_of_unique_dests,TCP_protocol_count,UDP_protocol_count,Packet_length_variance,Inter_arrival_time_variance,label
3,198.67,2,3,0,18890.33,0.0,messaging
3,142.33,2,3,0,7866.33,7.86,messaging
3,198.0,2,3,0,18732.0,0.0,messaging
5,243.8,2,5,0,18716.2,4.73,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,148.0,2,3,0,8773.0,7.82,messaging
3,255.67,2,3,0,42894.33,0.0,messaging
3,145.33,2,3,0,8330.33,7.8,messaging
3,197.0,2,3,0,18499.0,0.0,messaging
3,145.33,2,3,0,8322.33,7.8,messaging
3,194.0,2,3,0,17796.0,0.0,messaging
5,233.2,2,5,0,30308.7,0.09,messaging
3,144.0,2,3,0,8128.0,1.33,messaging
3,274.33,2,3,0,55464.33,1.45,messaging
5,359.2,2,5,0,84058.7,0.06,messaging
3,218.33,2,3,0,35194.33,1.47,messaging
3,224.33,2,3,0,27740.33,1.12,messaging
3,143.33,2,3,0,8017.33,3.04,messaging
3,196.33,2,3,0,18336.33,1.11,messaging
3,145.33,2,3,0,8321.33,3.06,messaging
3,233.33,2,3,0,30737.33,1.11,messaging
19,337.95,2,19,0,168297.72,0.0,messaging
4,361.5,2,4,0,28187.0,1.1,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,228.33,2,3,0,42858.33,0.1,messaging
3,227.0,2,3,0,28483.0,6.21,messaging
3,145.33,2,3,0,8330.33,0.1,messaging
5,97.6,2,5,0,1036.8,1.67,messaging
3,197.33,2,3,0,18565.33,0.69,messaging
3,140.67,2,3,0,7601.33,0.09,messaging
3,199.0,2,3,0,18967.0,6.26,messaging
3,165.0,2,3,0,12711.0,0.09,messaging
3,222.67,2,3,0,26874.33,6.32,messaging
3,223.33,2,3,0,40584.33,0.08,messaging
3,197.67,2,3,0,18646.33,6.33,messaging
3,140.67,2,3,0,7625.33,0.08,messaging
3,195.0,2,3,0,18039.0,6.38,messaging
3,143.0,2,3,0,7959.0,0.07,messaging
3,197.0,2,3,0,18489.0,6.43,messaging
3,143.33,2,3,0,8017.33,0.07,messaging
2,285.0,2,2,0,288.0,0.15,messaging
3,298.0,2,3,0,72724.0,0.0,messaging
2,277.0,2,2,0,128.0,1.84,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,142.67,2,3,0,7906.33,1.78,messaging
2,269.5,2,2,0,4.5,3.3,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,142.67,2,3,0,7930.33,1.77,messaging
2,282.0,2,2,0,2.0,3.31,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,143.33,2,3,0,8009.33,1.77,messaging
1,284.0,1,1,0,0.0,0.0,messaging
2,158.0,2,2,0,27848.0,0.0,messaging
3,146.33,2,3,0,8482.33,1.75,messaging
2,279.5,2,2,0,24.5,3.33,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,143.0,2,3,0,7969.0,1.75,messaging
3,193.67,2,3,0,17752.33,2.2,messaging
3,143.33,2,3,0,8012.33,1.73,messaging
3,198.33,2,3,0,18814.33,2.22,messaging
2,286.5,2,2,0,544.5,0.66,messaging
3,304.0,2,3,0,77553.0,0.0,messaging
3,302.0,2,3,0,59052.0,0.36,messaging
3,207.0,2,3,0,20989.0,0.31,messaging
3,169.33,2,3,0,13701.33,4.99,messaging
3,213.67,2,3,0,23270.33,0.32,messaging
3,142.67,2,3,0,7909.33,5.02,messaging
3,196.67,2,3,0,18408.33,0.33,messaging
5,259.8,2,5,0,52116.2,2.47,messaging
3,195.67,2,3,0,18180.33,0.57,messaging
3,145.33,2,3,0,8330.33,2.53,messaging
2,277.5,2,2,0,4.5,2.29,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,142.67,2,3,0,7905.33,2.48,messaging
2,277.0,2,2,0,18.0,2.32,messaging
1,40.0,1,1,0,0.0,0.0,messaging
5,262.2,2,5,0,60633.2,0.33,messaging
3,167.0,2,3,0,13287.0,1.01,messaging
2,527.5,2,2,0,1104.5,1.58,messaging
1,40.0,1,1,0,0.0,0.0,messaging
5,306.2,2,5,0,50240.2,0.14,messaging
3,227.33,2,3,0,41945.33,1.57,messaging
3,198.0,2,3,0,18727.0,0.37,messaging
3,144.67,2,3,0,8225.33,4.82,messaging
3,193.0,2,3,0,17563.0,0.37,messaging
3,140.67,2,3,0,7609.33,4.83,messaging
3,217.67,2,3,0,25234.33,0.38,messaging
3,142.67,2,3,0,7905.33,4.79,messaging
3,194.67,2,3,0,17945.33,0.39,messaging
3,155.0,2,3,0,10191.0,4.75,messaging
3,192.33,2,3,0,17410.33,0.39,messaging
3,145.33,2,3,0,8325.33,4.73,messaging
3,199.67,2,3,0,19162.33,0.39,messaging
3,155.67,2,3,0,10634.33,4.73,messaging
3,193.33,2,3,0,17642.33,0.39,messaging
3,143.67,2,3,0,8062.33,4.7,messaging
3,191.67,2,3,0,17254.33,0.4,messaging
3,147.33,2,3,0,8641.33,4.7,messaging
3,195.33,2,3,0,18097.33,0.41,messaging
3,142.67,2,3,0,7954.33,4.65,messaging
3,193.33,2,3,0,17637.33,0.42,messaging
3,143.0,2,3,0,7957.0,4.63,messaging
3,195.33,2,3,0,18097.33,0.43,messaging
3,142.0,2,3,0,7819.0,4.61,messaging
3,197.67,2,3,0,18644.33,0.43,messaging
2,284.5,2,2,0,420.5,2.69,messaging
3,411.67,2,3,0,109302.33,0.0,messaging
3,167.67,2,3,0,13556.33,0.57,messaging
3,215.0,2,3,0,23311.0,0.07,messaging
3,141.67,2,3,0,7764.33,6.49,messaging
3,194.0,2,3,0,17787.0,0.07,messaging
3,145.33,2,3,0,8322.33,6.44,messaging
2,307.5,2,2,0,2112.5,0.12,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,143.0,2,3,0,7959.0,6.41,messaging
5,281.6,2,5,0,29905.8,0.01,messaging
3,225.67,2,3,0,40616.33,7.21,messaging
3,194.67,2,3,0,17990.33,0.0,messaging
3,144.67,2,3,0,8220.33,7.58,messaging
3,196.0,2,3,0,18253.0,0.0,messaging
3,144.0,2,3,0,8116.0,7.52,messaging
3,192.0,2,3,0,17353.0,0.0,messaging
3,145.33,2,3,0,8330.33,7.55,messaging
3,244.67,2,3,0,33625.33,0.0,messaging
3,146.67,2,3,0,8542.33,7.57,messaging
3,195.33,2,3,0,18112.33,0.0,messaging
3,143.0,2,3,0,7959.0,7.49,messaging
3,194.33,2,3,0,17870.33,0.01,messaging
4,387.5,2,4,0,105733.67,3.11,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,213.67,2,3,0,23376.33,0.56,messaging
3,143.33,2,3,0,8024.33,2.04,messaging
3,194.67,2,3,0,17945.33,1.87,messaging
3,143.0,2,3,0,7963.0,2.03,messaging
3,196.33,2,3,0,18372.33,1.89,messaging
3,173.67,2,3,0,14732.33,2.04,messaging
3,195.0,2,3,0,18019.0,1.9,messaging
3,141.0,2,3,0,7657.0,2.02,messaging
3,194.0,2,3,0,17788.0,1.93,messaging
3,142.67,2,3,0,7921.33,1.98,messaging
3,196.67,2,3,0,18424.33,1.94,messaging
3,146.0,2,3,0,8428.0,1.98,messaging
8,252.12,2,8,0,52611.84,0.74,messaging
5,355.6,2,5,0,60728.3,1.51,messaging
3,228.33,2,3,0,41364.33,0.55,messaging
3,206.33,2,3,0,21212.33,4.84,messaging
4,202.0,2,4,0,204.67,0.18,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,145.33,2,3,0,8357.33,1.5,messaging
4,199.5,2,4,0,33.0,0.14,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,334.0,2,3,0,67531.0,0.32,messaging
3,143.33,2,3,0,8017.33,0.74,messaging
3,223.33,2,3,0,26433.33,3.78,messaging
3,162.0,2,3,0,12063.0,0.73,messaging
3,196.0,2,3,0,18253.0,3.76,messaging
5,206.6,2,5,0,16970.8,0.31,messaging
3,142.33,2,3,0,7856.33,0.99,messaging
3,201.33,2,3,0,19525.33,1.1,messaging
3,226.33,2,3,0,40082.33,3.06,messaging
3,197.33,2,3,0,18581.33,1.11,messaging
3,144.0,2,3,0,8116.0,3.06,messaging
3,199.67,2,3,0,19176.33,1.12,messaging
3,260.33,2,3,0,65822.33,3.03,messaging
8,255.62,2,8,0,51684.84,0.43,messaging
3,140.67,2,3,0,7616.33,4.9,messaging
3,234.67,2,3,0,30537.33,0.29,messaging
3,146.0,2,3,0,8428.0,5.1,messaging
3,262.33,2,3,0,45816.33,0.3,messaging
3,145.33,2,3,0,8330.33,5.07,messaging
3,200.33,2,3,0,19280.33,0.31,messaging
3,145.33,2,3,0,8337.33,5.06,messaging
3,196.0,2,3,0,18253.0,0.32,messaging
3,142.67,2,3,0,7914.33,5.01,messaging
5,302.4,2,5,0,42182.8,0.03,messaging
3,199.33,2,3,0,19440.33,0.15,messaging
3,176.67,2,3,0,15772.33,4.63,messaging
3,236.67,2,3,0,32489.33,0.41,messaging
3,145.33,2,3,0,8357.33,4.64,messaging
3,196.0,2,3,0,18261.0,0.42,messaging
3,144.0,2,3,0,8112.0,4.6,messaging
3,197.67,2,3,0,18650.33,0.43,messaging
3,145.67,2,3,0,8376.33,4.61,messaging
3,195.33,2,3,0,18100.33,0.43,messaging
3,141.67,2,3,0,7758.33,4.57,messaging
3,248.33,2,3,0,37954.33,0.44,messaging
3,141.33,2,3,0,7726.33,4.57,messaging
3,249.33,2,3,0,39106.33,0.44,messaging
3,147.67,2,3,0,8696.33,4.6,messaging
3,199.33,2,3,0,19041.33,0.44,messaging
3,197.67,2,3,0,25286.33,4.54,messaging
3,197.33,2,3,0,18574.33,0.45,messaging
5,291.6,2,5,0,37363.3,0.09,messaging
3,199.33,2,3,0,19161.33,0.15,messaging
3,226.33,2,3,0,40802.33,1.53,messaging
3,231.0,2,3,0,30441.0,2.44,messaging
3,143.33,2,3,0,8024.33,1.52,messaging
3,197.33,2,3,0,18590.33,2.42,messaging
3,142.0,2,3,0,7807.0,1.53,messaging
3,195.0,2,3,0,18025.0,2.42,messaging
3,143.0,2,3,0,7969.0,1.52,messaging
3,195.67,2,3,0,18174.33,2.44,messaging
3,143.33,2,3,0,8009.33,1.52,messaging
3,197.67,2,3,0,18644.33,2.47,messaging
3,141.33,2,3,0,7710.33,1.5,messaging
3,196.33,2,3,0,18332.33,2.5,messaging
3,140.33,2,3,0,7550.33,1.49,messaging
3,194.67,2,3,0,17950.33,2.51,messaging
3,216.0,2,3,0,34896.0,1.47,messaging
3,193.67,2,3,0,17730.33,2.53,messaging
3,150.0,2,3,0,9364.0,1.46,messaging
3,194.33,2,3,0,17870.33,2.54,messaging
3,140.67,2,3,0,7601.33,1.44,messaging
2,280.5,2,2,0,4.5,3.94,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,144.0,2,3,0,8137.0,1.42,messaging
2,271.0,2,2,0,0.0,4.0,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,173.0,2,3,0,15247.0,1.4,messaging
5,304.6,2,5,0,43277.3,1.38,messaging
3,146.0,2,3,0,8443.0,1.59,messaging
3,210.0,2,3,0,22159.0,2.34,messaging
4,276.75,2,4,0,126.25,1.04,messaging
4,139.0,2,4,0,14478.67,0.0,messaging
3,195.33,2,3,0,18100.33,4.91,messaging
3,146.0,2,3,0,8443.0,0.34,messaging
